ID,latitud,longitd,municip,localdd,predio,causa,ecos,tipo,inicio,termino,renuevo,arboreo,arbustv,herbace,total,copa,dur,tempord,temp_yr,difftim,radio,pendint,altitud,CLAVE,TIPO_C,usv,dst_hrt,dist_gr,dist_vs,dist_rb,Prec,Tmin,Tmax,Prec30d,est,porc_copa,ROS_ha_day,N_inc,Rec_prom,N_fires_prom,Rec_area,Fr_yr
1025-Vil-2002-04-16,19.33611111,-101.2347222,Villa Madero,El Caracol,Barranca Los Caballos,,,,16/04/2002,16/04/2002,0,0,5,0,5,NA,NA,secas,2002,1,126.16,12.13351631,2055,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3654.671817,3972.177106,3841.157817,2445.014739,0,17,38,0,_16109,0,5,5,5,5,6.6,1
1026-Vil-2002-04-17,19.40555556,-101.2527778,Villa Madero,La Cienega,El Charco,,,,17/04/2002,17/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,21.24591446,1941,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,809.8338286,681.5400782,2490.265223,2501.460504,0,18,39,0,_16109,0,2,1,1,1,2,NA
1027-Vil-2002-04-23,19.36944444,-101.2416667,Villa Madero,EL CARACOL,LAS LOMAS,,,,23/04/2002,23/04/2002,0,0,3,0,3,NA,NA,secas,2002,1,97.72,9.204467773,1972,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,501.4875975,631.1697334,801.4279105,1800.902487,0,19,40,0,_16109,0,3,1,1,1,3,NA
1028-Vil-2002-04-25,19.38611111,-101.2611111,Villa Madero,CANCHO,LA JOYA,,,,25/04/2002,25/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,16.87371445,2045,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,15.29232304,225.6793707,477.7261848,598.1633414,0,18,41,0,_16109,0,2,2,2,2,3.5,1.1
1029-Vil-2002-04-26,19.31888889,-101.3569444,Villa Madero,LA YERBABUENA,YERBABUENA,,,,26/04/2002,26/04/2002,1,0,2,0,3,NA,NA,secas,2002,1,97.72,33.18717957,2291,C(w2)(w),Templado subhúmedo,Bosque mesofilo primario,1045.406944,1078.859527,841.6531523,3053.221674,0,14,34,0,_16123,0,3,1,1,1,3,NA
103-Ari-2005-05-07,19.16805556,-101.6941667,Ario de Rosales,El Agostadero,La Hacienda,,,,07/05/2005,07/05/2005,0,2,8,0,10,NA,NA,lluvias,2005,1,178.41,44.47221375,1752,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,181.6931878,193.3422379,2561.996439,2859.888863,0,7.5,26.5,0,_16515,20,10,1,1,1,10,NA
1030-Vil-2002-04-26,19.32166667,-101.2933333,Villa Madero,ACATEM,ACATEN,,,,26/04/2002,26/04/2002,5,0,40,0,45,NA,NA,secas,2002,1,378.47,45.84090805,2414,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2322.072513,1820.602818,5876.338237,1762.811468,0,17,41,0,_16109,0,45,4,3.5,3.5,102.51,6.2
1031-Vil-2002-04-27,19.34722222,-101.2125,Villa Madero,LAS PARRITAS,LOS CAJONES,,,,27/04/2002,27/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,5.892556667,1962,(A)C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2493.919944,2704.406289,4607.840412,129.3012957,0,19,40,0,_16109,0,2,1,1,1,2,NA
1032-Vil-2002-05-04,19.43888889,-101.2611111,Villa Madero,SAN PEDRO P. G,San Pedro P. O,,,,04/05/2002,04/05/2002,2,0,3,0,5,NA,NA,lluvias,2002,1,126.16,14.90711975,2113,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,175.8175681,185.5843942,3848.76923,2762.278082,0,NA,NA,0,16001,0,5,2,2,2,4,0.1
1033-Vil-2002-05-05,19.33638889,-101.235,Villa Madero,LA CUMBRE,C. LA CONQUISTA,,,,05/05/2002,05/05/2002,0,0,5,3,8,NA,NA,lluvias,2002,1,159.58,10,2058,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3613.42668,3932.490198,3800.554421,2460.035945,0,20,40,9,_16109,0,8,5,5,5,6.6,1
